q,source,form,c1,c2,valid_y0,notes
3,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
4,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
5,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
6,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
7,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
8,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
9,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
10,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
11,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
12,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
13,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
14,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
15,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
16,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
17,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
18,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
19,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
20,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
21,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
22,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
23,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
24,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
25,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
26,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
27,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
28,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
29,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"
30,BMOR2018,cNoverlog,0.00625,0,8e9,"Uniform 1/160; BMOR 2018"